country,date,BX.KLT.DINV.CD.WD,CC.EST,GC.DOD.TOTL.GD.ZS,GE.EST,IC.BUS.EASE.XQ,NE.EXP.GNFS.ZS,NE.IMP.GNFS.ZS,NY.GDP.MKTP.CD,NY.GDP.PCAP.CD,RL.EST
"Egypt, Arab Rep.",2022,11399900000.0,-0.678962171077728,,-0.448231309652328,,15.0870258208479,21.8960790564233,476747720364.742,4233.30783744856,-0.26560452580452
"Egypt, Arab Rep.",2023,9840600000.0,-0.747790396213531,,-0.239516973495483,,19.1021039290635,21.3403342882993,396002496996.96,3457.45691570455,-0.184178426861763
Ethiopia,1991,,,49.6471547793914,,,,,13799799323.6715,277.565910365091,
Ethiopia,1992,170000.0,,43.3007948756543,,,,,10754799036.5745,207.406400863847,
Ethiopia,1993,3500000.0,,71.5033855542775,,,,,9051043870.12197,168.520401400989,
Ethiopia,1994,17210000.0,,90.2523100095927,,,,,7100806753.92942,127.685923459033,
Ethiopia,1995,14140000.0,,80.6182076424932,,,,,7855205206.93405,136.523619088963,
Ethiopia,1996,21930000.0,-0.9305459856987,70.3936489385985,-1.2075936794281,,,,8761215548.48614,147.327458851964,-0.965788543224335
Ethiopia,1997,288490000.0,,67.7317426757118,,,,,8803539988.33248,143.369531498844,
Ethiopia,1998,260670000.0,-0.903203785419464,76.0638442706389,-1.19072878360748,,,,8013274131.69715,126.465095781244,-0.908676981925964
Ethiopia,1999,69980000.0,,83.4720247831402,,,,,7892973531.80045,120.734631499865,
Ethiopia,2000,134640000.0,-0.906757354736328,,-1.20650112628937,,,,8242349617.8638,122.269202606069,-0.983719408512115
Ethiopia,2001,349400000.0,,,,,,,8231326016.47494,118.457204255261,
Ethiopia,2002,255000000.0,-0.717909097671509,,-1.04439079761505,,,,7850809498.16803,109.593813612988,-0.959304392337799
Ethiopia,2003,465000000.0,-0.777412176132202,,-1.07022738456726,,,,8623691300.04079,116.800491132777,-0.834280729293823
Ethiopia,2004,545100000.0,-0.757493495941162,,-0.878722608089447,,,,10131187261.4421,133.169812538096,-0.893445909023285
Ethiopia,2005,265111675.482385,-0.772508382797241,,-0.917718350887299,,,,12401139453.9738,158.243458082465,-0.938896775245667
Ethiopia,2006,545257102.178304,-0.650104701519012,,-0.690580487251282,,,,15280861834.6024,189.345737521418,-0.667515754699707
Ethiopia,2007,222000572.994807,-0.632185876369476,,-0.47174859046936,,,,19707616772.7996,237.146255996319,-0.659463107585907
Ethiopia,2008,108537543.965443,-0.666399776935577,,-0.450209558010101,,,,27066912635.2228,316.410475118075,-0.706700682640076
Ethiopia,2009,221459581.361984,-0.704722344875336,,-0.562428534030914,,,,32437389116.038,368.574712267445,-0.832281887531281
Ethiopia,2010,288271568.250744,-0.694108724594116,,-0.488994628190994,,,,29933790334.3418,330.619412798644,-0.807519137859344
Ethiopia,2011,628624805.998665,-0.667876601219177,,-0.521041929721832,,16.6868531997337,31.5460822119553,31952763089.33,343.024942351887,-0.741804361343384
Ethiopia,2012,278562822.162861,-0.608586847782135,,-0.454180359840393,,13.7672981990263,31.630605984481,43310721414.0829,452.101031885754,-0.67731785774231
Ethiopia,2013,1343876023.73137,-0.501710414886475,10.733283781495,-0.620984315872192,,12.484073558977,28.9877135217855,47648276605.0123,484.039833104062,-0.649658679962158
Ethiopia,2014,1855052153.64107,-0.448165893554688,26.9372797365191,-0.443245232105255,,11.6416199095703,29.0994642402923,55612228233.5179,549.986577082588,-0.468583732843399
Ethiopia,2015,2626517918.313,-0.476118475198746,27.9431250379303,-0.712037622928619,,9.36331359735926,30.2928105475922,64589328550.5953,621.845673808133,-0.5272017121315
Ethiopia,2016,4142937496.46329,-0.442086547613144,29.0056900690034,-0.714294850826263,,7.81208050267299,27.0869722982698,74296745207.8721,696.195884706786,-0.507818698883057
Ethiopia,2017,4017159564.65434,-0.582322061061859,30.0951131996185,-0.759255349636078,,7.62936862241418,23.4742626798764,81770886825.6048,745.632449222154,-0.469820439815521
Ethiopia,2018,3360419368.65295,-0.50531792640686,32.5332185023587,-0.666894257068634,,8.37267586646371,22.8266990770053,84269196625.8784,747.968143637014,-0.444717615842819
Ethiopia,2019,2548743427.35754,-0.434498816728592,31.4488486740364,-0.66142076253891,159.0,7.9399766087609,20.8753243982814,95912607722.3032,828.70897229725,-0.482023179531097
Ethiopia,2020,2395799880.65984,-0.389672368764877,,-0.589582562446594,,7.12720094276697,16.878912700715,107657734392.446,905.313175805855,-0.402888596057892
Ethiopia,2021,4259445795.28263,-0.422021746635437,,-0.650382697582245,,7.63170164458893,16.7133376825376,111261882958.426,910.947840320752,-0.623265862464905
Ethiopia,2022,3669991332.17486,-0.433258950710297,,-0.791824162006378,,8.24396237462472,18.3515388544611,126772703047.701,1011.0732858233,-0.635894060134888
Ethiopia,2023,3262966283.51939,-0.465061634778976,,-0.768662095069885,,6.59300267773163,13.9924088899406,163697927593.982,1272.01628209211,-0.670203268527985
India,1991,73537638.3885329,,50.0100803583574,,,8.49424077053547,8.49348578059959,270105341879.226,305.574055928592,
India,1992,276512438.973893,,49.6809013594637,,,8.84292692502088,9.59017211680717,288208070278.013,319.182472626315,
India,1993,550370024.929383,,51.7598082886747,,,9.83421745486326,9.81732233160511,279295648982.529,302.884806246174,
India,1994,973271468.722874,,49.5942827047274,,,9.8880849164454,10.1900594604801,327274843459.429,347.73421473994,
India,1995,2143628110.28392,,47.4916413028303,,,10.8439680350622,12.0234806711877,360281909643.489,375.17600537305,
India,1996,2426057021.91092,-0.381090342998505,45.7233077028079,-0.111606687307358,,10.3851692716063,11.5443185997804,392896866204.516,401.046754673579,0.313456207513809
India,1997,3577330042.34585,,50.3654361276153,,,10.690717318379,11.9286695486689,415867563592.829,416.228116203753,
India,1998,2634651657.77141,-0.258726745843887,50.3192181735145,-0.11445739865303,,11.0184691793102,12.6810008997545,421351317224.941,413.630864056851,0.335014313459396
India,1999,2168591054.37924,,51.3529514384148,,,11.4520646128009,13.363533431492,458821052615.79,441.927991436397,
India,2000,3584217307.18756,-0.403301805257797,55.0042464964554,-0.187351524829865,,12.9972363113479,13.9036865990995,468395521654.458,442.750218937263,0.348079591989517
India,2001,5128093561.62688,,59.0179097968845,,,12.5583796339108,13.4348751195257,485440139204.171,450.357900514128,
India,2002,5208967106.27894,-0.555382490158081,62.5527712945573,-0.189068421721458,,14.2643839243147,15.2442790107467,514939140318.756,469.149928973927,-0.0173958707600832
India,2003,3681984671.43429,-0.456320524215698,62.1900538960464,-0.143909424543381,,14.9479138581734,15.6445222747346,607700687237.318,544.143133545002,0.120161645114422
India,2004,5429250989.85717,-0.448476195335388,62.5929767433885,-0.179698884487152,,17.8591249630479,19.6446890963991,709152728830.775,624.258826510066,0.0533560588955879
India,2005,7269407225.61438,-0.363160848617554,62.2265261001737,-0.0987746343016624,,19.6052466948335,22.3964229200356,820383763511.445,710.488080408949,0.13313016295433
India,2006,20029119267.1396,-0.274562805891037,59.6667302762217,-0.0953764915466309,,21.2679414221966,24.4565390770687,940259888787.721,801.668353659022,0.178989619016647
India,2007,25227740886.6819,-0.397690296173096,57.4975363892468,0.136991709470749,,20.7996997489032,24.8865689304448,1216736438834.96,1021.88707706826,0.0968981608748436
India,2008,43406277075.8109,-0.33909797668457,57.2922142809949,-0.0097329141572117,,24.0973572601391,29.2708631790835,1198895139005.92,992.519584923828,0.0958504602313042
India,2009,35581372929.6642,-0.452406287193298,55.2564461117969,-0.0032957887742668,,20.4005193743564,25.8723502685274,1341888016994.9,1094.94974598436,0.0179808251559734
India,2010,27396885033.7839,-0.463754564523697,51.5919103003897,0.0316559858620167,,22.4009332487945,26.8542732486216,1675615519484.96,1347.51939071367,-0.0358108207583427
India,2011,36498654597.8589,-0.540835857391357,51.5565536600977,0.0225540697574615,,24.5404113195713,31.0834686939585,1823051829894.55,1445.46127486037,-0.0862971395254135
India,2012,23995685014.2142,-0.513968110084534,50.6780305618952,-0.15608711540699,,24.534430661418,31.2592910673332,1827637590410.41,1429.32199520032,-0.0628807470202446
India,2013,28153031270.3203,-0.517280995845795,50.3118273627008,-0.157355144619942,,25.430861300519,28.4132706461587,1856721507621.58,1432.84397512195,-0.0458925999701023
India,2014,34576643694.1383,-0.457605749368668,49.9009248748319,-0.222846582531929,,22.9679630081172,25.9542227389497,2039126479154.52,1553.88396075118,-0.0691893845796585
India,2015,44009492129.5319,-0.406574189662933,49.9647183856551,0.0800815001130104,,19.8131891564045,22.1097247094602,2103588360044.94,1583.99815907985,-0.0707211047410965
India,2016,44458571545.798,-0.337335646152496,47.6337555915272,0.0613894164562225,,19.1582349105946,20.9242508026814,2294796885663.16,1707.50892912243,-0.0561538562178612
India,2017,39966091358.7384,-0.291900008916855,47.5836093800197,0.0410966314375401,,18.7917648392982,21.9507321152243,2651474262755.45,1950.10468280866,-0.0297500882297754
India,2018,42117450737.2644,-0.229758977890015,46.5224986659322,0.262917786836624,,19.9278285988562,23.6891407335327,2702929641648.74,1966.25455171679,-0.0014220889424905
India,2019,50610647353.5912,-0.30260244011879,,0.130771830677986,62.0,18.664264897257,21.2411386333872,2835606256558.19,2041.42863698585,-0.0672271549701691
India,2020,64362364994.3754,-0.293598413467407,,0.374532461166382,,18.6824769296756,19.0756283996012,2674851578587.27,1907.04251637669,-0.0584247447550297
India,2021,44727277562.881,-0.317147105932236,,0.249238416552544,,21.3991583305515,24.0239304534931,3167270623260.47,2239.61384367482,-0.108451806008816
India,2022,49940258404.266,-0.322223275899887,,0.369541674852371,,23.2004878372097,26.7648321318227,3353470496886.33,2352.61392452078,0.113943412899971
India,2023,28078983530.3979,-0.366014748811722,,0.47511014342308,,21.8482115022381,24.0736387142048,3567551674623.01,2480.79208721621,0.188364565372467
"Iran, Islamic Rep.",1991,22590000.0,,,,,13.8243202860878,30.3698513622526,131637664957.524,2194.43906802841,
"Iran, Islamic Rep.",1992,8500000.0,,,,,13.1645906691731,27.2333365829259,119768691216.667,1957.48507794252,
"Iran, Islamic Rep.",1993,207550000.0,,,,,25.4101116465792,20.6307526783539,63743623231.2312,1038.10985680796,
"Iran, Islamic Rep.",1994,2000000.0,,,,,28.2861924142116,13.3229439840581,71841461172.2365,1167.7627251321,
"Iran, Islamic Rep.",1995,17000000.0,,,,,21.6762407038307,13.4680042114432,96419225744.9927,1550.0095955237,
"Iran, Islamic Rep.",1996,26000000.0,-0.480606764554977,,-0.600068271160126,,20.1951302404086,15.0261689151036,120403931883.348,1914.78121290985,-0.940338909626007
"Iran, Islamic Rep.",1997,53000000.0,,,,,17.2779308649525,15.3716272465331,113919163421.479,1790.06617576107,
"Iran, Islamic Rep.",1998,24000000.0,-0.460588485002518,,-0.490328997373581,,12.6833809122559,16.5448387339609,110276913362.445,1709.19334095949,-0.683586835861206
"Iran, Islamic Rep.",1999,35000000.0,,,,,19.2920231959411,15.5933909385495,113848450088.686,1739.59462001971,
"Iran, Islamic Rep.",2000,39000000.0,-0.40113028883934,,-0.492341905832291,,21.4670575687982,19.7901898960966,109591707801.431,1650.01385832603,-0.519492506980896
"Iran, Islamic Rep.",2001,408118760.0,,,,,19.303320356832,21.232246123348,126878750295.583,1881.02266634748,
"Iran, Islamic Rep.",2002,3519380360.0,-0.218060061335564,,-0.616700828075409,,24.4139021535169,23.7587843982946,128626917504.398,1891.25756092031,-0.821777701377869
"Iran, Islamic Rep.",2003,2877481500.0,-0.311086535453796,,-0.565392553806305,,24.62747283048,26.0516329444293,151911222120.261,2208.99636553529,-0.680515766143799
"Iran, Islamic Rep.",2004,3037299840.0,-0.359162539243698,,-0.501296877861023,,25.2669282561482,26.0469290708994,187754571246.703,2672.42266512669,-0.673581480979919
"Iran, Islamic Rep.",2005,2889191670.0,-0.477626025676727,,-0.662730693817139,,30.3308191860484,24.1096760765685,224970371328.826,3132.05081925856,-0.865804314613342
"Iran, Islamic Rep.",2006,2317538500.0,-0.484105497598648,,-0.555354535579681,,29.869035250349,23.2983234635772,265602187406.199,3618.9160136791,-0.994356155395508
"Iran, Islamic Rep.",2007,2017791750.0,-0.556039273738861,,-0.648909568786621,,28.8436124049704,21.0436945169436,349736591836.295,4687.99166265915,-1.02745187282562
"Iran, Islamic Rep.",2008,1979988010.0,-0.755060851573944,,-0.682821750640869,,26.577127451621,21.6522753221445,406070949550.867,5377.41150725587,-0.97846394777298
"Iran, Islamic Rep.",2009,2983421910.0,-0.767309308052063,,-0.577192842960358,,22.7114891379066,20.9880910865099,414059094949.597,5415.52280554144,-1.05367839336395
"Iran, Islamic Rep.",2010,3648972410.0,-0.948633968830109,,-0.49773833155632,,24.3996532830257,19.3709904543267,487069570461.36,6291.19443652344,-1.02666425704956
"Iran, Islamic Rep.",2011,4276718690.0,-0.880579233169556,,-0.452714681625366,,24.9333131264674,16.2861016653904,629082257472.368,8025.68743364356,-0.967787086963654
"Iran, Islamic Rep.",2012,4661734400.0,-0.797346830368042,,-0.542041420936584,,22.4753001992586,21.6140464814866,644019315003.54,8114.08099831877,-0.918653786182404
"Iran, Islamic Rep.",2013,3049945000.0,-0.693914532661438,,-0.690026342868805,,25.1829067419072,21.9038111775683,500399839839.877,6222.74194840326,-0.997067153453827
"Iran, Islamic Rep.",2014,2105494000.0,-0.62561160326004,,-0.438457310199738,,22.8306723891643,22.5207477521518,462284793280.825,5672.06372896319,-1.05286180973053
"Iran, Islamic Rep.",2015,2050000000.0,-0.634078562259674,,-0.253069669008255,,18.7208345068656,20.7017541543144,409191686496.677,4952.73355532178,-0.940354943275452
